1,Airport,When does the flight leave?,¿Cuándo sale el vuelo? ,file:///android_asset/airport.png
2,Airport,When does the flight arrive?,¿Cuándo llega el vuelo?,file:///android_asset/airport.png
3,Airport,Where is baggage claim?,¿Dónde está el reclamo de equipaje?,file:///android_asset/airport.png
4,Airport,My suitcases are lost.,Mis maletas están perdidas.,file:///android_asset/airport.png
5,Airport,Where is the taxi stop?,¿Dónde está la parada de taxis?,file:///android_asset/airport.png
6,Getting Around,I need to go to …,Necesito ir a … ,file:///android_asset/getting_around.png
7,Getting Around,How much does a round trip ticket cost?,¿Cuánto cuesta un boleto de ida y vuelta? ,file:///android_asset/getting_around.png
8,Getting Around,When does the next train to … leave?,¿Cuándo sale el próximo tren para…? ,file:///android_asset/getting_around.png
9,Getting Around,When do we arrive?,¿A qué hora llegamos? ,file:///android_asset/getting_around.png
10,Getting Around,How much is the fare?,¿Cuánto es el pasaje? ,file:///android_asset/getting_around.png
11,Restaurant,Can I see the menu?,¿Puedo ver el menú? ,file:///android_asset/restaurant.png
12,Restaurant,"I need a table for two, please.","Necesito una mesa para dos, por favor. ",file:///android_asset/restaurant.png
13,Restaurant,What’s the daily special?,¿Cuál es el especial del día? ,file:///android_asset/restaurant.png
14,Restaurant,What do you recommend?,¿Qué me recomienda? ,file:///android_asset/restaurant.png
15,Restaurant,Enjoy your meal.,Buen provecho,file:///android_asset/restaurant.png
